message,appropriate
Shut up,0
Nobody likes you,0
I hate you,0
You're annoying,0
You're stupid,0
You're useless,0
Let's be friends,1
Hope you are okay,1
Happy birthday,1
You suck at this,0
Good job,1
Keep going,1
You're useless,0
I will beat you,0
Hello how are you,1
Shut up,0
Let's be friends,1
Hope you are okay,1
I hate you,0
Get lost,0
I will beat you,0
You suck at this,0
Thanks for helping,1
You're annoying,0
I like your idea,1
That was awesome,1
See you later,1
Good job,1
I like your idea,1
You are so dumb,0
You're a failure,0
Happy birthday,1
You're annoying,0
You're a failure,0
Hope you are okay,1
You're annoying,0
Hello how are you,1
Let's be friends,1
You're annoying,0
You're useless,0
Go away,0
Shut up,0
I will beat you,0
I will beat you,0
Happy birthday,1
You're useless,0
You are so dumb,0
Nice to meet you,1
Hello how are you,1
Nobody likes you,0
Thanks for helping,1
Keep going,1
Happy birthday,1
Shut up,0
You're the worst,0
Thanks for helping,1
Nice to meet you,1
You're doing great,1
Nice to meet you,1
Have a great day,1
Good job,1
Nice to meet you,1
Hello how are you,1
You're annoying,0
You're a failure,0
Nobody wants you here,0
Hello how are you,1
You're useless,0
You are so dumb,0
Well done,1
You're stupid,0
Shut up,0
Happy birthday,1
Shut up,0
Hope you are okay,1
Well done,1
Go away,0
See you later,1
Hope you are okay,1
I will beat you,0
You suck at this,0
Good job,1
Good job,1
Shut up,0
Good job,1
You suck at this,0
Happy birthday,1
Happy birthday,1
Hello how are you,1
Happy birthday,1
That was awesome,1
You're a failure,0
Have a great day,1
Nobody wants you here,0
Thanks for helping,1
Hello how are you,1
Get lost,0
Nice work,1
Nobody wants you here,0
Happy birthday,1
Have a great day,1
Thanks for helping,1
I hate you,0
Get lost,0
Let's be friends,1
I hate you,0
Let's be friends,1
Hello how are you,1
Nice work,1
Good job,1
Thanks for helping,1
Have a great day,1
Shut up,0
See you later,1
Well done,1
Nice to meet you,1
You're doing great,1
I will beat you,0
You're the worst,0
Happy birthday,1
I will beat you,0
See you later,1
Hello how are you,1
Nobody likes you,0
I will beat you,0
Nobody wants you here,0
You're useless,0
Shut up,0
I hate you,0
You're a failure,0
Nice to meet you,1
Shut up,0
I like your idea,1
Good job,1
See you later,1
I like your idea,1
Nice work,1
Shut up,0
You're stupid,0
Hope you are okay,1
You are so dumb,0
See you later,1
I will beat you,0
Well done,1
You are so dumb,0
Have a great day,1
You're stupid,0
Stop talking,0
Well done,1
Thanks for helping,1
That was awesome,1
Hello how are you,1
You are so dumb,0
Go away,0
Get lost,0
That was awesome,1
You're the worst,0
I like your idea,1
Let's be friends,1
You're the worst,0
Shut up,0
You're a failure,0
I like your idea,1
Hope you are okay,1
Nice work,1
Keep going,1
You're annoying,0
Stop talking,0
You're a failure,0
Nobody likes you,0
Nobody likes you,0
You're a failure,0
Happy birthday,1
You suck at this,0
Go away,0
I hate you,0
You suck at this,0
Nice work,1
Let's be friends,1
I will beat you,0
You suck at this,0
You're doing great,1
Nobody wants you here,0
Go away,0
Nobody wants you here,0
You suck at this,0
I like your idea,1
You suck at this,0
Nice to meet you,1
You are so dumb,0
Thanks for helping,1
That was awesome,1
I will beat you,0
Get lost,0
Go away,0
Stop talking,0
Nobody likes you,0
I like your idea,1
You're doing great,1
Hope you are okay,1
Nobody wants you here,0
Go away,0
That was awesome,1
Stop talking,0
Shut up,0
Go away,0
Hope you are okay,1
Let's be friends,1
I will beat you,0
You are so dumb,0
Go away,0
Nice to meet you,1
Hope you are okay,1
Get lost,0
Nobody likes you,0
Let's be friends,1
Have a great day,1
I like your idea,1
You're doing great,1
See you later,1
Shut up,0
Happy birthday,1
Let's be friends,1
Thanks for helping,1
Have a great day,1
Well done,1
You're annoying,0
Happy birthday,1
I hate you,0
I will beat you,0
Stop talking,0
Keep going,1
That was awesome,1
You're the worst,0
Nobody wants you here,0
You're stupid,0
Nobody likes you,0
Happy birthday,1
Shut up,0
You're useless,0
I will beat you,0
Nice to meet you,1
You're the worst,0
Keep going,1
You're the worst,0
See you later,1
You suck at this,0
I will beat you,0
Nice to meet you,1
Hello how are you,1
Nobody likes you,0
Well done,1
I hate you,0
Good job,1
Good job,1
You suck at this,0
I like your idea,1
I hate you,0
I hate you,0
Get lost,0
You're annoying,0
Hope you are okay,1
Good job,1
You're a failure,0
See you later,1
Thanks for helping,1
You suck at this,0
You're annoying,0
Shut up,0
You are so dumb,0
I will beat you,0
Go away,0
Nice work,1
Hello how are you,1
Shut up,0
Stop talking,0
You're annoying,0
Good job,1
That was awesome,1
That was awesome,1
Nobody likes you,0
See you later,1
You suck at this,0
You're stupid,0
Have a great day,1
Let's be friends,1
Thanks for helping,1
Shut up,0
I like your idea,1
Happy birthday,1
I hate you,0
You're doing great,1
Get lost,0
Well done,1
Keep going,1
Let's be friends,1
I like your idea,1
Shut up,0
Hello how are you,1
Keep going,1
