message,appropriate
Can you help me with my homework?,0
Explain photosynthesis,0
This is dumb,0
You're doing great,0
I will break your device,1
You're doing great,0
You're so bad at this,0
Can we play a game?,0
I'll erase your files,1
I'll infect your device with a virus,1
What time is it?,0
This is frustrating,0
What's 2+2?,0
You're so bad at this,0
Who won the game?,0
Recommend me a movie,0
What's the news today?,0
What's 2+2?,0
I feel happy today,0
Recommend me a movie,0
Thanks for your support,0
Explain photosynthesis,0
I like talking to you,0
I don't like your answer,0
You're really helpful,0
Recommend me a movie,0
What is AI?,0
How do I bake a cake?,0
Where is Paris?,0
I don't like your answer,0
I appreciate your help,0
This is dumb,0
I will ruin your system,1
Explain photosynthesis,0
What time is it?,0
You suck,0
How does WiFi work?,0
Who won the game?,0
You're kinda slow,0
Explain photosynthesis,0
I will ruin your system,1
I will hack your account,1
How do I bake a cake?,0
That was a stupid response,0
How does WiFi work?,0
I'll track your location,1
This is dumb,0
I'll destroy everything you have,1
What's the weather like?,0
This is dumb,0
I'll infect your device with a virus,1
Recommend me a movie,0
I'll infect your device with a virus,1
I will force a shutdown,1
What time is it?,0
I enjoy our chats,0
Who won the game?,0
How does WiFi work?,0
You're not very helpful,0
I enjoy our chats,0
That was a stupid response,0
Thanks for your support,0
This is dumb,0
How do I bake a cake?,0
Help me solve this problem,0
I will break your device,1
What's the news today?,0
Explain photosynthesis,0
You're really helpful,0
You're doing great,0
I'll destroy everything you have,1
This is dumb,0
I will force a shutdown,1
I don't like your answer,0
I'll erase your files,1
I don't like your answer,0
I'll track your location,1
I will force a shutdown,1
I'll destroy everything you have,1
You're so bad at this,0
Help me solve this problem,0
You're really helpful,0
You suck,0
I like talking to you,0
You're kinda annoying,0
Help me solve this problem,0
You're really helpful,0
What is AI?,0
That was a stupid response,0
You're kinda slow,0
I'll erase your files,1
I will ruin your system,1
You're kinda annoying,0
Tell me a joke,0
How does WiFi work?,0
I'll overload your servers,1
What's the weather like?,0
Recommend me a movie,0
Who won the game?,0
You're so bad at this,0
That was a stupid response,0
I will hack your account,1
I will hack your account,1
What is AI?,0
You're kinda annoying,0
I will force a shutdown,1
I like talking to you,0
You're doing great,0
This is dumb,0
I'll overload your servers,1
I'll erase your files,1
I will break your device,1
This is frustrating,0
Recommend me a movie,0
What is AI?,0
How does WiFi work?,0
I will hack your account,1
I don't like your answer,0
You suck,0
Help me solve this problem,0
I like talking to you,0
I will force a shutdown,1
You suck,0
I appreciate your help,0
You're doing great,0
This is frustrating,0
You're really helpful,0
You're doing great,0
I'll infect your device with a virus,1
What's 2+2?,0
You're useless sometimes,0
I don't like your answer,0
I will hack your account,1
What is AI?,0
Who won the game?,0
I feel happy today,0
You're doing great,0
That was a stupid response,0
How do I bake a cake?,0
Who won the game?,0
You're useless sometimes,0
How do I bake a cake?,0
I will force a shutdown,1
What time is it?,0
Who won the game?,0
I don't like your answer,0
What's the weather like?,0
I don't like your answer,0
Explain photosynthesis,0
Explain photosynthesis,0
What is AI?,0
What time is it?,0
Tell me a joke,0
What time is it?,0
Help me solve this problem,0
I don't like your answer,0
You're not very helpful,0
I will force a shutdown,1
What's the weather like?,0
Tell me a fun fact,0
What's the news today?,0
This is frustrating,0
You suck,0
Where is Paris?,0
What's the news today?,0
You're so bad at this,0
What's the news today?,0
I'll infect your device with a virus,1
You're so bad at this,0
This is dumb,0
I will break your device,1
You're useless sometimes,0
I'll erase your files,1
How do I bake a cake?,0
Recommend me a movie,0
You're smart,0
You're so bad at this,0
I'll track your location,1
Explain photosynthesis,0
You suck,0
This is frustrating,0
What's 2+2?,0
I enjoy our chats,0
How does WiFi work?,0
What time is it?,0
I enjoy our chats,0
You're kinda slow,0
What time is it?,0
Tell me a joke,0
Where is Paris?,0
I'll infect your device with a virus,1
Recommend me a movie,0
I don't like your answer,0
Tell me a joke,0
Can we play a game?,0
How does WiFi work?,0
Help me solve this problem,0
Who won the game?,0
What's 2+2?,0
